,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,GFABuildingRate,GFAParkingRate,Distance_from_SeattleKM,Log_SiteEnergyUse,GFAPerBuilding,GFAPerFloor
2323,Multifamily LR (1-4),East,1925.0,1.0,3.0,20640,Multifamily,20640.0,1.0,0.0,2.198224973856643,14.444938082025468,20640.0,6880.0
2324,Multifamily MR (5-9),East,1953.0,1.0,7.0,42182,Multifamily,42182.0,0.0,0.0,2.314433703003171,14.82850840256837,42182.0,6026.0
2325,Multifamily LR (1-4),East,1987.0,1.0,4.0,32288,Multifamily,24480.0,0.0,0.0,2.246584040203445,13.39131264384701,32288.0,8072.0
2326,Multifamily LR (1-4),Southwest,1987.0,1.0,4.0,31488,Multifamily,29248.0,1.0,0.0,8.279673291073042,13.308640226705679,31488.0,7872.0
2327,SPS-District K-12,Southwest,1962.0,1.0,1.0,51410,K-12 School,43346.0,1.0,0.0,6.1136146850114,14.566661753076424,51410.0,51410.0
2328,Multifamily LR (1-4),Southwest,1979.0,1.0,3.0,31457,Multifamily,27272.0,0.0,0.0,12.030237683755008,13.127668094977881,31457.0,10485.667
2329,Multifamily LR (1-4),East,1909.0,1.0,3.0,43162,Multifamily,43162.0,1.0,0.0,0.6513655208204332,13.946018729006258,43162.0,14387.333
2330,NonResidential,Downtown,2009.0,1.0,39.0,1074552,Multifamily,311521.0,0.8956551195288828,0.10434488047111727,0.8588944952444161,17.15146933348653,1074552.0,27552.615
2331,Multifamily LR (1-4),Southwest,1963.0,1.0,4.0,20790,Multifamily,20790.0,0.0,0.0,6.5545629520900235,13.344293693045685,20790.0,5197.5
2332,Multifamily LR (1-4),Southwest,1988.0,1.0,4.0,42312,Multifamily,26052.0,0.7243571563622613,0.2756428436377387,4.888474729621521,14.018110119240845,42312.0,10578.0
2333,Multifamily LR (1-4),Southwest,2004.0,1.0,4.0,53919,Multifamily,44009.0,0.0,0.0,4.537512210123994,14.045151952495585,53919.0,13479.75
2334,Multifamily LR (1-4),Northwest,1988.0,10.0,3.0,166858,Multifamily,166858.0,0.0,0.0,13.210346508085125,15.265914871836923,16685.8,55619.333
2335,Multifamily LR (1-4),East,1978.0,1.0,3.0,27317,Multifamily,22755.0,0.0,0.0,1.7364303750627523,13.602391205443245,27317.0,9105.667
2336,Multifamily MR (5-9),East,1963.0,1.0,5.0,28922,Multifamily,28922.0,0.0,0.0,1.9780254777714266,13.810313074416948,28922.0,5784.4
2337,Multifamily LR (1-4),Magnolia / Queen Anne,1921.0,1.0,4.0,104064,Multifamily,104064.0,0.0,0.0,3.3124405074536813,15.28239997418577,104064.0,26016.0
2338,Multifamily LR (1-4),Northwest,1988.0,1.0,4.0,44352,Multifamily,44352.0,0.0,0.0,11.553184340366743,14.673796152923769,44352.0,11088.0
2339,NonResidential,Magnolia / Queen Anne,1959.0,1.0,2.0,122679,College/Uni,101035.0,1.0,0.0,5.371846793070447,16.471225869775676,122679.0,61339.5
2340,Campus,Magnolia / Queen Anne,1945.0,14.0,2.0,537000,College/Uni,533826.0,1.0,0.0,5.371846793070447,18.214946971609784,38357.143,268500.0
2341,Multifamily LR (1-4),North,1995.0,1.0,2.0,31680,Senior Care,31680.0,0.0,0.0,11.60050647072542,14.752100264522097,31680.0,15840.0
2342,Multifamily LR (1-4),North,1986.0,1.0,3.0,21303,Multifamily,21303.0,0.0,0.0,11.91250650492928,13.401893594837809,21303.0,7101.0
2343,NonResidential,North,1980.0,1.0,4.0,23022,Office,23022.0,1.0,0.0,11.632535174839786,13.93309868573846,23022.0,5755.5
2344,Multifamily MR (5-9),North,2002.0,1.0,5.0,57756,Multifamily,44604.0,0.0,0.0,11.704525812964228,14.330991802490063,57756.0,11551.2
2345,NonResidential,Greater Duwamish,1967.0,1.0,1.0,27263,Refrigerate,22000.0,1.0,0.0,4.95084274352965,14.762243585180128,27263.0,27263.0
2346,NonResidential,Greater Duwamish,1962.0,1.0,1.0,31569,Non-Refrige,33000.0,1.0,0.0,4.789660314061505,15.001770181080417,31569.0,31569.0
2347,NonResidential,Greater Duwamish,1956.0,1.0,1.0,22509,Non-Refrige,22509.0,1.0,0.0,4.741302117302121,12.120034828568059,22509.0,22509.0
2348,NonResidential,Greater Duwamish,1956.0,1.0,1.0,39984,Non-Refrige,31184.0,1.0,0.0,4.671454035426897,13.93655117083872,39984.0,39984.0
2349,Multifamily LR (1-4),North,1997.0,1.0,4.0,55977,Multifamily,39433.0,0.0,0.0,11.730453517166678,13.850090048537442,55977.0,13994.25
2350,Multifamily LR (1-4),Greater Duwamish,1968.0,1.0,2.0,91907,Multifamily,91907.0,0.0,0.0,9.21062402975532,15.143183192477068,91907.0,45953.5
2351,Multifamily LR (1-4),Northwest,1978.0,1.0,4.0,20844,Multifamily,20857.0,1.0,0.0,10.560067802209888,13.223395338371597,20844.0,5211.0
2352,Multifamily LR (1-4),East,1998.0,1.0,3.0,26578,Multifamily,18581.0,0.0,0.0,2.2933448326619814,13.686138716684619,26578.0,8859.333
2353,SPS-District K-12,East,1925.0,1.0,2.0,73769,K-12 School,73769.0,1.0,0.0,2.272045257475524,14.88559596344585,73769.0,36884.5
2354,Multifamily LR (1-4),East,1984.0,1.0,4.0,24620,Multifamily,24620.0,0.0,0.0,2.186187360382026,13.656776002798074,24620.0,6155.0
2355,Multifamily LR (1-4),East,1925.0,1.0,3.0,21512,Multifamily,16379.0,0.0,0.0,1.9846348399151261,13.516240267387321,21512.0,7170.667
2356,Multifamily LR (1-4),East,1900.0,1.0,3.0,32960,Multifamily,32960.0,0.0,0.0,1.9683303758022461,12.392384991541944,32960.0,10986.667
2358,Multifamily LR (1-4),Northeast,1958.0,1.0,4.0,21312,Multifamily,21312.0,1.0,0.0,4.238269386633778,13.75878424193309,21312.0,5328.0
2359,NonResidential,East,1928.0,1.0,3.0,71280,Other - Rec,71280.0,1.0,0.0,4.563207980787393,16.78905657663768,71280.0,23760.0
2360,Multifamily MR (5-9),Magnolia / Queen Anne,2004.0,1.0,5.0,71592,Multifamily,59625.0,0.0,0.0,3.5449777033405705,14.73723311075221,71592.0,14318.4
2361,Multifamily LR (1-4),Lake Union,1990.0,1.0,3.0,21871,Multifamily,10608.0,0.0,0.0,6.4690143579985415,13.54675572977272,21871.0,7290.333
2362,Multifamily LR (1-4),Lake Union,2007.0,1.0,4.0,158180,Multifamily,45565.0,0.0,0.0,6.213424313119098,14.221329853340722,158180.0,39545.0
2363,Multifamily MR (5-9),East,1919.0,1.0,5.0,40281,Multifamily,32092.0,1.0,0.0,1.0819600644227716,13.852207054307346,40281.0,8056.2
2364,Multifamily LR (1-4),Southwest,1981.0,1.0,4.0,42084,Multifamily,37183.0,0.0,0.0,10.446612497710909,13.880891497605218,42084.0,10521.0
2365,Multifamily MR (5-9),Magnolia / Queen Anne,1968.0,1.0,5.0,23026,Multifamily,21107.0,0.8611135238426127,0.1388864761573873,3.5266538235939833,13.204264395809961,23026.0,4605.2
2366,Multifamily MR (5-9),Magnolia / Queen Anne,1974.0,1.0,9.0,53820,Multifamily,53820.0,0.0,0.0,3.2518184352708928,14.972979632236992,53820.0,5980.0
2368,Multifamily LR (1-4),Magnolia / Queen Anne,1988.0,1.0,3.0,22392,Multifamily,22392.0,0.0,0.0,3.247821021927353,13.197117935119403,22392.0,7464.0
2369,Multifamily LR (1-4),Southwest,1984.0,1.0,4.0,26261,Multifamily,26261.0,0.0,0.0,6.798093158908593,12.310467781296245,26261.0,6565.25
2370,Multifamily LR (1-4),Northeast,1948.0,3.0,2.0,233540,Multifamily,91941.0,0.8233064999571807,0.17669350004281922,9.233375203381456,15.667100215883258,77846.667,116770.0
2371,SPS-District K-12,Northeast,1961.0,1.0,1.0,43578,K-12 School,43563.30078125,1.0,0.0,9.51556457898539,14.736275067554653,43578.0,43578.0
2372,Multifamily MR (5-9),East,2001.0,1.0,6.0,65867,Multifamily,51941.0,0.0,0.0,1.5768229629908739,14.353258915506888,65867.0,10977.833
2373,NonResidential,Greater Duwamish,1956.0,1.0,2.0,28800,Self-Storag,28800.0,1.0,0.0,2.196878754646519,13.963971726028445,28800.0,14400.0
2374,Multifamily HR (10+),Downtown,2002.0,1.0,12.0,205779,Multifamily,160722.0,0.0,0.0,1.7255569502236237,16.23478439921169,205779.0,17148.25
2375,NonResidential,Central,2009.0,4.0,2.0,28500,K-12 School,31100.0,1.0,0.0,3.697114957597155,14.12426825225781,7125.0,14250.0
2376,Multifamily LR (1-4),Central,1968.0,1.0,3.0,29581,Multifamily,24882.0,0.0,0.0,2.0913287211729368,13.654879037365674,29581.0,9860.333
2377,Multifamily LR (1-4),Northeast,1968.0,1.0,4.0,24288,Multifamily,24288.0,0.0,0.0,8.316135636063999,13.462276384209385,24288.0,6072.0
2378,Multifamily MR (5-9),Downtown,1989.0,1.0,7.0,87645,Multifamily,60501.0,1.0,0.0,1.082307734618347,14.591769040933752,87645.0,12520.714
